Data File:  G:\Meu Drive\Integrated Design\Bancada para o Controle\Henrique\Testes Passivos\REG_CVHS_passivo\01_11_2019\Transient\20191031_LaFeSi_CVHS_mf20_dT3K_Th303_Fb0p5_f0p75_cycle_10_35_27.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: sexta-feira, 1 de novembro de 2019 @ 10:35:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control Test Apparatus - Experimentos iniciais - POLO-UFSC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Run Time [s],T Reg Hot [�C],T Reg Cold [�C],T CHEX in [�C],T CHEX out [�C],T HHEX in [�C],T HHEX out [�C],T amb left [�C],T amb door [�C],T amb right [�C],T cab down [�C] ,T cab middle [�C],T cab up [�C],Torque [Nm],Displacement [%], MFR - HB [kg/h], MFR - CB [kg/h],HighFlow [L/h],LowFlow [L/h],P Hot in [bar],P Cold in [bar],P Cold out [bar] ,P Hot out [bar],P sys in [bar],P sys out [bar],dp Cold [bar],dp Hot [bar],dp System [bar],Field [V],V_VHB_high [V],I_VHB_high [A],V_VHB_low [V],I_VHB_low [A],V_VCB_high [V],I_VCB_high [A],V_VCB_low [V],I_VCB_low [A],f AMR [Hz],Vazao setada [kg/h],FB [%],W pump [W],W motor [W],W VHB High [W],W VHB Low [W],W VCB High [W],W VCB Low [W]
2435.69333,30.45003,27.75176,27.57627,30.27307,30.58490,27.73368,25.45950,25.88861,27.88373,26.40204,26.35307,26.34397,-0.23924,0.23850,19.91088,0.88868,21.46599,2.20750,1.90112,1.85867,1.88759,1.83707,2.03984,1.87008,-0.02893,0.06404,0.16976,2.71647,0.00750,-0.00243,-0.01131,-0.00393,22.78649,1.25895,22.80689,1.17845,0.75000,1.53000,50.00000,0.11391,-0.56212,1.67665,1.63310,1.42824,1.55983
2435.70000,30.42664,27.71342,27.60205,30.28132,30.60504,27.70927,25.46848,25.89145,27.92251,26.37415,26.35525,26.34115,-0.23828,0.23352,19.94255,0.82887,21.46824,2.20917,1.90360,1.86088,1.88594,1.83846,2.04025,1.87008,-0.02506,0.06515,0.17017,2.71359,0.01305,-0.00255,-0.00668,-0.00393,22.33806,1.22828,22.44554,1.14949,0.75000,1.53000,50.00000,0.11391,-0.56212,1.67665,1.63310,1.42735,1.55904
2435.70667,30.43317,27.76811,27.58678,30.27962,30.60698,27.70890,25.47931,25.91811,27.95076,26.39184,26.35538,26.35110,-0.23860,0.23352,19.97070,0.76554,21.46599,2.20388,1.90498,1.86198,1.88566,1.83928,2.03859,1.86953,-0.02368,0.06570,0.16907,2.70678,0.01259,-0.00247,-0.00483,-0.00397,21.29728,1.23184,21.29582,1.15230,0.75000,1.53000,50.00000,0.11391,-0.56212,1.67665,1.63310,1.42604,1.55639
2435.71333,30.43062,27.76435,27.56737,30.28703,30.60963,27.70220,25.45188,25.90605,27.91677,26.37120,26.34936,26.35724,-0.23828,0.23601,19.99181,0.70573,21.46599,2.22060,1.90664,1.86420,1.88483,1.84177,2.03776,1.87008,-0.02064,0.06487,0.16768,2.71110,0.00797,-0.00243,-0.00946,-0.00393,22.82027,1.01303,22.61257,1.19527,0.75000,1.53000,50.00000,0.11391,-0.56212,1.67665,1.63310,1.44894,1.55671
2435.72000,30.44602,27.77825,27.57482,30.26272,30.62843,27.71866,25.46197,25.90704,27.94441,26.34674,26.34726,26.32211,-0.23764,0.23601,19.99885,0.65648,21.47048,2.20360,1.90747,1.86558,1.88345,1.84232,2.03652,1.86980,-0.01788,0.06514,0.16672,2.70986,0.00889,-0.00251,-0.00946,-0.00393,25.19014,0.00033,22.71713,1.19471,0.75000,1.53000,50.00000,0.11391,-0.56212,1.67665,1.63310,1.42245,1.55857
2435.72667,30.43839,27.76138,27.58692,30.29347,30.60916,27.71852,25.47586,25.88616,27.90698,26.35227,26.35331,26.31069,-0.23764,0.23352,20.01292,0.61426,21.47048,2.21029,1.90747,1.86751,1.88235,1.84509,2.03486,1.86953,-0.01484,0.06238,0.16534,2.71451,0.00658,-0.00255,-0.00992,-0.00389,22.89941,1.18647,22.85362,1.19143,0.75000,1.53000,50.00000,0.11391,-0.56212,1.67665,1.63310,1.44960,1.58576
2435.73333,30.45308,27.77676,27.57603,30.27499,30.61669,27.70731,25.47660,25.91638,27.91981,26.38433,26.33917,26.33132,-0.23764,0.22855,19.99533,0.55445,21.46824,2.20945,1.91243,1.87442,1.88566,1.85807,2.03362,1.86980,-0.01124,0.05436,0.16382,2.70710,0.00612,-0.00239,-0.01084,-0.00393,24.47284,0.00101,24.38782,0.00123,0.75000,1.53000,50.00000,0.11391,-0.56212,1.67665,1.63310,1.44960,1.58577
2435.74000,30.45064,27.78127,27.57003,30.28374,30.60431,27.70755,25.47524,25.90558,27.91449,26.37624,26.34986,26.32949,-0.23764,0.23104,19.98829,0.52982,21.46824,2.20416,1.91105,1.87802,1.88428,1.86111,2.03362,1.87119,-0.00627,0.04994,0.16243,2.70546,0.00797,-0.00247,-0.01084,-0.00385,24.33956,0.00081,24.25503,0.00127,0.75000,1.53000,50.00000,0.11391,-0.56212,1.67665,1.63310,1.44959,1.58577
2435.74667,30.43742,27.77448,27.55257,30.28642,30.60370,27.70439,25.47205,25.99401,27.92631,26.37980,26.35217,26.34029,-0.23764,0.23104,19.97070,0.48760,21.46599,2.21977,1.90443,1.87470,1.87573,1.85586,2.03528,1.86980,-0.00103,0.04857,0.16547,2.70742,0.00750,-0.00243,-0.01038,-0.00385,24.40157,0.00121,23.57630,0.24166,0.75000,1.53000,50.00000,0.11391,-0.56212,1.67665,1.63310,1.44960,1.59143
2435.75333,30.45101,27.77946,27.59653,30.28350,30.58162,27.70327,25.46873,25.90263,27.94489,26.36285,26.36014,26.25975,-0.23796,0.22855,19.95662,0.45242,21.46599,2.20276,1.90277,1.87691,1.87518,1.85945,2.03984,1.87008,0.00173,0.04332,0.16976,2.70618,0.00704,-0.00243,-0.01084,-0.00385,24.38815,0.00101,24.30731,0.00115,0.75000,1.53000,50.00000,0.11390,-0.56211,1.67665,1.63310,1.44536,1.58553
2435.76000,30.45064,27.77020,27.57852,30.27549,30.60795,27.72051,25.44206,25.87426,27.92203,26.37796,26.37001,26.34311,-0.23764,0.23352,19.93199,0.42075,21.46375,2.21029,1.90057,1.88078,1.87518,1.86360,2.04771,1.87008,0.00560,0.03697,0.17763,2.70662,0.00797,-0.00235,-0.01177,-0.00405,24.46358,0.00017,24.36098,0.00111,0.75000,1.53000,50.00000,0.11390,-0.56211,1.67665,1.63310,1.44534,1.58553
2435.76667,30.46181,27.78336,27.57321,30.16973,30.60638,27.73182,25.46024,25.90632,27.92827,26.38226,26.34925,26.37075,-0.23764,0.23352,19.90736,0.40668,21.47273,2.21141,1.89615,1.88189,1.87269,1.86249,2.05517,1.86980,0.00919,0.03366,0.18537,2.70690,0.00704,-0.00239,-0.01084,-0.00425,24.40759,0.00093,24.32258,0.00111,0.75000,1.53000,50.00000,0.11389,-0.56211,1.67665,1.63310,1.44533,1.58552
2435.77333,30.46981,27.79605,27.58018,30.29068,30.61896,27.72842,25.46676,25.93211,27.92312,26.37059,26.35183,26.33796,-0.23732,0.22855,19.88273,0.36446,21.46824,2.20499,1.89504,1.88493,1.87352,1.86636,2.05849,1.87063,0.01141,0.02869,0.18785,2.70566,0.00797,-0.00243,-0.00992,-0.00385,24.34511,0.00113,24.26521,0.00135,0.75000,1.53000,50.00000,0.11389,-0.56211,1.67665,1.63310,1.44533,1.58553
2435.78000,30.44943,27.79948,27.57310,30.28837,30.58756,27.72173,25.48471,25.89697,27.92079,26.37636,26.34739,26.34864,-0.23732,0.23850,19.86162,0.34335,21.46599,2.22144,1.89201,1.88769,1.87242,1.86912,2.06097,1.87091,0.01527,0.02289,0.19006,2.70718,0.00750,-0.00239,-0.01038,-0.00385,23.85457,0.27420,23.75304,0.30454,0.75000,1.53000,50.00000,0.11389,-0.56211,1.67665,1.63310,1.45185,1.59273
2435.78667,30.46315,27.78434,27.59746,30.26285,30.60517,27.73879,25.45015,25.90717,27.93425,26.37170,26.39480,26.39322,-0.23700,0.23104,19.83699,0.32576,21.46599,2.20499,1.88704,1.88797,1.86745,1.86774,2.06387,1.87063,0.02052,0.01930,0.19324,2.70602,0.00797,-0.00255,-0.01038,-0.00385,24.38861,0.00101,24.29991,0.00123,0.75000,1.53000,50.00000,0.11389,-0.56211,1.67665,1.63310,1.44523,1.58807
