Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf20_dT12K_2.txt
Date: quinta-feira, 16 de agosto de 2018 @ 11:50:01
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
11:50:01	1240.120	309.188	297.146	303.190	297.194	297.260	297.157	303.029	309.229	309.534	309.235	301.857	301.684	301.960	303.119	302.611	302.416	60.009	0.011	-15.023	-0.035	0.065	20.308	0.315	-8.420	4.674	4.652	4.617	4.609	2.609	21.652	4.808	4.631	0.177	3.177	23.958	0.002	23.929	0.002	-0.239	-0.004	-0.243	-0.004	0.044	0.043	0.001	0.001
11:50:01	1240.127	309.212	297.130	303.168	297.200	297.242	297.159	303.032	309.241	309.542	309.237	301.856	301.686	301.955	303.128	302.581	302.423	60.009	0.011	-15.021	-0.034	0.066	20.326	0.291	-8.148	4.674	4.652	4.618	4.608	2.611	21.655	4.808	4.632	0.176	3.190	23.969	0.002	23.425	0.284	-0.238	-0.003	-0.243	-0.004	0.042	6.664	0.001	0.001
11:50:01	1240.133	309.229	297.091	303.194	297.205	297.223	297.172	303.027	309.229	309.530	309.213	301.852	301.665	301.967	303.111	302.594	302.397	60.009	0.011	-15.021	-0.034	0.065	20.319	0.280	-7.890	4.674	4.651	4.617	4.609	2.608	21.648	4.808	4.631	0.177	3.213	23.430	0.299	23.872	0.002	-0.237	-0.003	-0.243	-0.004	6.994	0.040	0.001	0.001
11:50:01	1240.140	309.209	297.093	303.199	297.203	297.217	297.173	303.035	309.215	309.548	309.221	301.832	301.615	301.966	303.155	302.609	302.430	60.009	0.011	-15.022	-0.034	0.065	20.316	0.259	-7.778	4.674	4.651	4.617	4.609	2.609	21.639	4.808	4.632	0.176	3.233	23.945	0.002	23.946	0.002	-0.238	-0.003	-0.243	-0.004	0.042	0.043	0.001	0.001
11:50:01	1240.147	309.199	297.105	303.238	297.223	297.201	297.173	303.039	309.263	309.545	309.198	301.846	301.591	301.946	303.115	302.608	302.439	60.009	0.011	-15.019	-0.034	0.065	20.312	0.231	-7.819	4.673	4.651	4.617	4.608	2.606	21.639	4.807	4.630	0.177	3.248	23.968	0.002	23.921	0.002	-0.238	-0.003	-0.244	-0.004	0.039	0.041	0.001	0.001
11:50:01	1240.153	309.218	297.145	303.271	297.221	297.195	297.201	303.027	309.244	309.553	309.217	301.803	301.610	301.939	303.132	302.611	302.424	60.009	0.011	-15.023	-0.034	0.065	20.316	0.241	-7.976	4.673	4.651	4.617	4.608	2.605	21.637	4.809	4.631	0.177	3.260	23.955	0.002	23.952	0.002	-0.238	-0.004	-0.242	-0.004	0.042	0.041	0.001	0.001
11:50:01	1240.160	309.216	297.094	303.281	297.244	297.188	297.199	303.045	309.224	309.538	309.180	301.839	301.593	301.965	303.184	302.606	302.427	60.009	0.011	-15.021	-0.033	0.065	20.308	0.217	-8.128	4.673	4.650	4.617	4.608	2.605	21.630	4.808	4.631	0.176	3.262	23.894	0.002	24.200	0.002	-0.238	-0.004	-0.243	-0.004	0.044	0.058	0.001	0.001
11:50:01	1240.167	309.214	297.080	303.258	297.225	297.172	297.217	303.047	309.228	309.523	309.226	301.859	301.591	301.962	303.123	302.604	302.459	60.009	0.011	-15.020	-0.034	0.065	20.301	0.213	-8.156	4.672	4.650	4.617	4.608	2.602	21.628	4.809	4.631	0.177	3.262	24.273	0.002	23.911	0.002	-0.237	-0.003	-0.243	-0.004	0.039	0.042	0.001	0.001
11:50:01	1240.173	309.205	297.066	303.238	297.249	297.169	297.206	303.051	309.231	309.545	309.214	301.860	301.589	301.898	303.111	302.760	302.430	60.009	0.011	-15.022	-0.033	0.065	20.301	0.203	-7.995	4.672	4.650	4.617	4.607	2.603	21.628	4.809	4.631	0.178	3.270	23.953	0.002	23.929	0.002	-0.238	-0.003	-0.243	-0.004	0.041	0.041	0.001	0.001
11:50:01	1240.180	309.211	297.029	303.238	297.225	297.158	297.208	303.044	309.242	309.538	309.207	301.846	301.655	301.961	303.123	302.611	302.580	60.009	0.011	-15.019	-0.034	0.065	20.291	0.185	-7.669	4.671	4.650	4.616	4.607	2.602	21.625	4.809	4.631	0.178	3.273	23.960	0.002	23.428	0.288	-0.239	-0.004	-0.242	-0.004	0.040	6.744	0.001	0.001
