Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf60_dT12K.txt
Date: quinta-feira, 16 de agosto de 2018 @ 12:20:29
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
12:20:29	3067.900	310.116	297.463	303.461	297.244	298.264	297.227	303.314	309.130	309.396	309.109	302.111	301.915	301.849	303.265	302.873	302.972	59.999	0.011	-15.022	0.151	-0.105	45.330	14.853	-3.340	4.881	4.831	4.983	4.985	2.481	63.443	5.751	4.647	1.104	3.828	-0.228	-0.002	-0.246	-0.003	24.025	0.001	23.947	0.002	0.000	0.001	0.029	0.039
12:20:29	3067.907	310.128	297.460	303.475	297.238	298.227	297.248	303.296	309.110	309.446	309.109	302.097	301.933	301.849	303.271	302.856	302.966	59.999	0.011	-15.020	0.151	-0.105	44.067	16.183	-3.170	4.880	4.831	4.982	4.986	2.473	63.449	5.751	4.647	1.103	3.818	-0.229	-0.002	-0.247	-0.003	23.980	0.001	24.091	0.002	0.000	0.001	0.030	0.038
12:20:29	3067.913	310.157	297.471	303.472	297.231	298.232	297.256	303.314	309.125	309.444	309.114	302.099	301.940	301.863	303.262	302.850	302.980	59.999	0.011	-15.022	0.151	-0.105	42.758	17.555	-2.981	4.880	4.831	4.982	4.985	2.478	63.452	5.750	4.647	1.103	3.821	-0.229	-0.002	-0.248	-0.003	24.025	0.001	23.943	0.002	0.000	0.001	0.035	0.041
12:20:29	3067.920	310.148	297.427	303.473	297.235	298.199	297.269	303.303	309.131	309.508	309.098	302.100	301.944	301.853	303.262	302.870	302.990	59.999	0.011	-15.019	0.152	-0.105	41.435	18.962	-2.802	4.880	4.830	4.982	4.985	2.477	63.452	5.751	4.647	1.103	3.830	-0.229	-0.002	-0.246	-0.003	24.019	0.001	23.944	0.002	0.000	0.001	0.029	0.038
12:20:29	3067.927	310.154	297.442	303.482	297.264	298.215	297.266	303.295	309.103	309.523	309.093	302.091	301.926	301.812	303.282	302.864	302.984	59.999	0.011	-15.022	0.152	-0.106	40.041	20.422	-2.620	4.878	4.829	4.982	4.984	2.478	63.452	5.751	4.647	1.104	3.836	-0.229	-0.002	-0.247	-0.003	24.348	0.001	23.413	0.292	0.000	0.001	0.019	6.830
12:20:29	3067.933	310.169	297.434	303.504	297.254	298.187	297.299	303.286	309.141	309.548	309.105	302.125	301.923	301.857	303.265	302.845	302.992	59.999	0.011	-15.020	0.151	-0.106	38.665	21.872	-2.435	4.879	4.830	4.981	4.985	2.485	63.452	5.751	4.648	1.104	3.829	-0.227	-0.002	-0.246	-0.003	24.025	0.001	23.939	0.001	0.000	0.001	0.033	0.035
12:20:29	3067.940	310.172	297.430	303.504	297.271	298.196	297.275	303.322	309.133	309.577	309.110	302.114	301.908	301.874	303.251	302.880	302.977	59.999	0.011	-15.019	0.152	-0.106	37.251	23.342	-2.272	4.878	4.829	4.981	4.984	2.480	63.452	5.753	4.647	1.105	3.836	-0.229	-0.002	-0.247	-0.003	24.023	0.001	23.956	0.002	0.000	0.001	0.031	0.038
12:20:29	3067.947	310.171	297.439	303.507	297.294	298.180	297.302	303.302	309.128	309.609	309.120	302.120	301.959	301.856	303.276	302.861	302.973	59.999	0.011	-15.023	0.152	-0.107	35.829	24.827	-2.126	4.878	4.829	4.981	4.985	2.485	63.454	5.752	4.647	1.105	3.833	-0.228	-0.002	-0.247	-0.004	23.543	0.251	23.184	0.215	0.000	0.001	5.901	4.994
12:20:29	3067.953	310.155	297.443	303.531	297.241	298.170	297.327	303.303	309.116	309.614	309.118	302.108	301.895	301.881	303.262	302.856	302.985	59.999	0.011	-15.019	0.152	-0.107	34.394	26.322	-1.982	4.878	4.829	4.981	4.984	2.484	63.452	5.752	4.647	1.105	3.832	-0.228	-0.002	-0.247	-0.003	24.021	0.001	23.941	0.002	0.000	0.001	0.028	0.038
12:20:29	3067.960	310.137	297.416	303.545	297.280	298.189	297.306	303.312	309.129	309.639	309.130	302.105	301.923	301.839	303.256	302.866	302.978	59.999	0.011	-15.021	0.152	-0.107	32.972	27.800	-1.830	4.878	4.829	4.981	4.985	2.485	63.447	5.753	4.647	1.106	3.835	-0.228	-0.002	-0.248	-0.003	23.993	0.001	24.050	0.002	0.000	0.001	0.036	0.036
