Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf60_dT9K.txt
Date: quarta-feira, 15 de agosto de 2018 @ 17:08:53
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
17:08:53	12920.040	308.715	300.228	304.398	300.075	300.649	300.175	304.679	309.133	309.307	309.134	302.837	303.664	303.334	304.668	303.582	303.928	60.007	0.014	-15.019	0.156	-0.105	0.917	60.302	7.718	4.981	4.931	5.087	5.086	2.485	63.218	5.831	4.756	1.076	3.723	-0.228	-0.002	-0.246	-0.003	24.011	0.001	24.002	0.002	0.000	0.001	0.036	0.041
17:08:53	12920.047	308.647	300.226	304.424	300.078	300.658	300.180	304.661	309.151	309.301	309.130	302.831	303.633	303.323	304.662	303.573	303.979	60.007	0.014	-15.020	0.158	-0.105	0.875	60.323	7.939	4.981	4.930	5.087	5.086	2.480	63.214	5.831	4.756	1.076	3.715	-0.229	-0.002	-0.247	-0.003	23.297	0.210	23.982	0.002	0.000	0.001	4.899	0.040
17:08:53	12920.053	308.602	300.211	304.433	300.098	300.641	300.152	304.648	309.127	309.280	309.114	302.840	303.615	303.337	304.680	303.580	303.956	60.007	0.014	-15.021	0.157	-0.105	0.833	60.344	8.084	4.981	4.930	5.087	5.087	2.487	63.218	5.831	4.755	1.075	3.713	-0.229	-0.002	-0.247	-0.003	24.036	0.001	23.958	0.002	0.000	0.001	0.031	0.039
17:08:53	12920.060	308.584	300.194	304.423	300.093	300.632	300.163	304.650	309.132	309.260	309.132	302.863	303.585	303.312	304.690	303.583	303.980	60.007	0.014	-15.018	0.157	-0.105	0.787	60.361	8.139	4.981	4.930	5.087	5.087	2.480	63.214	5.832	4.755	1.077	3.706	-0.228	-0.002	-0.246	-0.004	24.049	0.001	23.463	0.162	0.000	0.001	0.028	3.793
17:08:53	12920.067	308.524	300.205	304.428	300.088	300.628	300.190	304.660	309.134	309.210	309.132	302.855	303.587	303.348	304.696	303.542	303.959	60.007	0.014	-15.022	0.157	-0.105	0.748	60.386	8.102	4.981	4.930	5.088	5.087	2.481	63.216	5.831	4.755	1.075	3.697	-0.229	-0.002	-0.247	-0.004	24.035	0.001	23.958	0.002	0.000	0.001	0.036	0.040
17:08:53	12920.073	308.476	300.193	304.473	300.080	300.642	300.167	304.655	309.135	309.184	309.139	302.769	303.558	303.348	304.671	303.573	303.910	60.007	0.014	-15.018	0.158	-0.105	0.706	60.397	7.979	4.981	4.930	5.088	5.087	2.483	63.211	5.831	4.755	1.075	3.692	-0.229	-0.002	-0.245	-0.003	24.035	0.001	23.958	0.002	0.000	0.001	0.032	0.042
17:08:53	12920.080	308.458	300.191	304.473	300.095	300.664	300.157	304.667	309.131	309.161	309.150	302.841	303.549	303.328	304.647	303.578	303.955	60.007	0.014	-15.019	0.157	-0.105	0.674	60.414	7.789	4.982	4.930	5.087	5.086	2.477	63.211	5.830	4.756	1.074	3.679	-0.229	-0.002	-0.246	-0.003	23.600	0.284	23.374	0.259	0.000	0.001	6.708	6.063
17:08:53	12920.087	308.410	300.123	304.486	300.086	300.666	300.161	304.651	309.142	309.149	309.121	302.821	303.498	303.330	304.663	303.567	303.941	60.007	0.014	-15.021	0.158	-0.105	0.636	60.428	7.556	4.981	4.929	5.087	5.086	2.484	63.214	5.831	4.755	1.075	3.676	-0.228	-0.002	-0.247	-0.004	24.035	0.001	23.956	0.002	0.000	0.001	0.036	0.039
17:08:53	12920.093	308.385	300.172	304.522	300.092	300.647	300.110	304.642	309.116	309.129	309.139	302.852	303.488	303.353	304.683	303.569	303.916	60.007	0.014	-15.019	0.158	-0.105	0.604	60.432	7.308	4.981	4.929	5.087	5.086	2.478	63.211	5.829	4.755	1.075	3.669	-0.228	-0.002	-0.246	-0.003	24.018	0.001	23.985	0.001	0.000	0.001	0.033	0.033
17:08:53	12920.100	308.330	300.177	304.522	300.094	300.639	300.171	304.644	309.120	309.057	309.131	302.859	303.454	303.330	304.684	303.571	303.936	60.007	0.014	-15.021	0.158	-0.106	0.590	60.446	7.069	4.980	4.929	5.086	5.086	2.480	63.214	5.831	4.755	1.077	3.669	-0.228	-0.002	-0.247	-0.004	23.403	0.223	23.973	0.001	0.000	0.001	5.229	0.035
