Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf70_dT6K_2.txt
Date: quarta-feira, 15 de agosto de 2018 @ 16:00:18
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
16:00:18	8804.960	309.202	304.096	306.049	303.201	303.130	303.315	306.096	309.111	308.895	309.163	303.511	303.723	303.608	306.085	304.764	304.213	60.002	0.011	-15.018	-0.178	0.202	70.189	0.744	-1.963	5.264	5.215	5.037	5.062	2.459	73.523	6.064	4.751	1.313	3.484	-0.224	-0.002	-0.250	-0.003	23.191	0.576	23.369	0.431	0.000	0.001	13.360	10.069
16:00:18	8804.967	309.169	304.161	306.053	303.196	303.164	303.326	306.100	309.116	308.892	309.140	303.519	303.753	303.606	306.237	304.808	304.228	60.002	0.011	-15.022	-0.178	0.202	70.249	0.692	-2.369	5.264	5.215	5.037	5.062	2.462	73.519	6.064	4.751	1.314	3.492	-0.228	-0.002	-0.246	-0.004	22.955	0.716	22.756	0.849	0.000	0.001	16.448	19.322
16:00:18	8804.973	309.178	304.207	306.018	303.171	303.207	303.326	306.103	309.127	308.891	309.134	303.507	303.784	303.602	306.083	304.803	304.213	60.002	0.011	-15.018	-0.171	0.201	70.295	0.649	-2.831	5.262	5.208	5.038	5.062	2.468	73.514	6.051	4.752	1.299	3.506	-0.227	-0.002	-0.245	-0.003	22.315	1.219	22.341	1.154	0.000	0.001	27.195	25.788
16:00:18	8804.980	309.248	304.237	305.978	303.185	303.232	303.343	306.090	309.127	308.887	309.141	303.516	303.799	303.599	306.096	304.816	304.239	60.002	0.011	-15.020	-0.165	0.196	70.351	0.614	-3.286	5.260	5.206	5.041	5.064	2.462	73.519	6.027	4.752	1.275	3.508	-0.227	-0.002	-0.245	-0.003	22.262	1.272	22.307	1.178	0.000	0.001	28.317	26.271
16:00:18	8804.987	309.183	304.254	305.950	303.177	303.269	303.302	306.106	309.110	308.893	309.143	303.522	303.978	303.610	306.102	304.803	304.171	60.002	0.011	-15.022	-0.156	0.186	70.418	0.579	-3.694	5.255	5.199	5.043	5.068	2.467	73.514	6.005	4.752	1.253	3.520	-0.228	-0.002	-0.245	-0.003	22.267	1.275	22.311	1.177	0.000	0.001	28.397	26.263
16:00:18	8804.993	309.179	304.292	305.942	303.172	303.322	303.324	306.084	309.125	308.895	309.147	303.514	303.842	303.611	306.192	304.833	304.249	60.002	0.011	-15.018	-0.147	0.173	70.464	0.540	-4.026	5.249	5.194	5.047	5.075	2.463	73.521	5.982	4.751	1.231	3.531	-0.228	-0.002	-0.246	-0.003	23.902	0.001	22.500	1.176	0.000	0.001	0.036	26.459
16:00:18	8805.000	309.184	304.338	305.948	303.154	303.341	303.291	306.107	309.115	308.861	309.136	303.506	303.879	303.627	306.119	304.818	304.283	60.002	0.011	-15.021	-0.136	0.160	70.531	0.512	-4.294	5.243	5.188	5.052	5.083	2.463	73.521	5.955	4.751	1.205	3.535	-0.228	-0.002	-0.246	-0.003	22.292	1.238	22.310	1.178	0.000	0.001	27.607	26.290
16:00:18	8805.007	309.162	304.332	305.891	303.151	303.402	303.289	306.085	309.129	308.877	309.129	303.536	303.885	303.606	306.073	304.818	304.316	60.002	0.011	-15.020	-0.125	0.148	70.594	0.474	-4.523	5.238	5.185	5.059	5.090	2.469	73.517	5.925	4.751	1.174	3.541	-0.228	-0.002	-0.246	-0.003	22.305	1.214	22.324	1.178	0.000	0.001	27.081	26.304
16:00:18	8805.013	309.206	304.363	305.880	303.146	303.438	303.290	306.084	309.122	308.857	309.153	303.522	303.890	303.612	306.077	304.829	304.334	60.002	0.011	-15.019	-0.114	0.141	70.622	0.442	-4.749	5.236	5.182	5.067	5.095	2.462	73.532	5.892	4.751	1.141	3.552	-0.228	-0.002	-0.246	-0.003	22.320	1.210	22.320	1.178	0.000	0.001	27.010	26.291
16:00:18	8805.020	309.201	304.393	305.864	303.148	303.447	303.270	306.095	309.135	308.842	309.151	303.514	303.935	303.620	306.092	304.818	304.380	60.002	0.011	-15.022	-0.079	0.129	70.661	0.421	-4.996	5.236	5.183	5.103	5.107	2.468	73.561	5.877	4.753	1.124	3.565	-0.229	-0.002	-0.246	-0.004	24.045	0.001	23.966	0.002	0.000	0.001	0.031	0.042
16:00:18	8805.027	309.197	304.421	305.858	303.117	303.509	303.307	306.102	309.127	308.822	309.143	303.506	303.970	303.585	306.095	304.832	304.404	60.002	0.011	-15.018	-0.054	0.111	70.689	0.400	-5.266	5.230	5.171	5.117	5.119	2.464	73.604	5.881	4.753	1.128	3.572	-0.229	-0.002	-0.247	-0.004	24.023	0.001	23.946	0.002	0.000	0.001	0.032	0.037
16:00:18	8805.033	309.182	304.457	305.831	303.154	303.526	303.266	306.054	309.107	308.783	309.140	303.518	303.921	303.632	306.076	304.804	304.463	60.002	0.011	-15.022	-0.029	0.078	70.682	0.371	-5.532	5.212	5.152	5.123	5.134	2.465	73.642	5.895	4.753	1.142	3.577	-0.229	-0.002	-0.247	-0.003	23.581	0.288	23.399	0.267	0.000	0.001	6.788	6.255
16:00:18	8805.040	309.199	304.461	305.817	303.121	303.567	303.272	306.062	309.119	308.775	309.143	303.531	303.975	303.531	306.078	304.824	304.515	60.002	0.011	-15.019	-0.003	0.043	70.675	0.350	-5.755	5.191	5.139	5.136	5.148	2.471	73.683	5.908	4.754	1.153	3.585	-0.229	-0.002	-0.247	-0.004	24.025	0.001	23.953	0.002	0.000	0.001	0.029	0.039
16:00:18	8805.047	309.199	304.474	305.813	303.145	303.609	303.244	306.068	309.126	308.741	309.142	303.517	303.969	303.597	306.070	304.798	304.559	60.002	0.011	-15.018	0.014	0.013	70.650	0.329	-5.898	5.169	5.126	5.140	5.156	2.464	73.719	5.922	4.756	1.166	3.588	-0.229	-0.002	-0.246	-0.004	24.026	0.001	23.985	0.002	0.000	0.001	0.033	0.040
16:00:18	8805.053	309.188	304.477	305.805	303.140	303.611	303.223	306.088	309.095	308.700	309.140	303.523	303.916	303.611	306.091	304.833	304.616	60.002	0.011	-15.023	0.032	-0.006	70.601	0.308	-5.943	5.151	5.112	5.143	5.157	2.470	73.748	5.941	4.757	1.184	3.598	-0.229	-0.002	-0.246	-0.003	23.302	0.205	23.992	0.002	0.000	0.001	4.784	0.042
16:00:18	8805.060	309.203	304.449	305.786	303.121	303.626	303.247	306.080	309.132	308.642	309.140	303.533	303.953	303.607	306.093	304.771	304.658	60.002	0.011	-15.017	0.047	-0.013	70.541	0.294	-5.893	5.137	5.093	5.140	5.150	2.465	73.779	5.967	4.755	1.211	3.601	-0.228	-0.002	-0.247	-0.003	24.026	0.001	23.943	0.001	0.000	0.001	0.033	0.034
16:00:18	8805.067	309.233	304.509	305.770	303.130	303.632	303.232	306.070	309.119	308.622	309.130	303.541	303.987	303.595	306.084	304.720	304.717	60.002	0.011	-15.021	0.059	-0.016	70.450	0.284	-5.776	5.127	5.075	5.134	5.142	2.465	73.806	5.994	4.755	1.239	3.604	-0.228	-0.002	-0.246	-0.003	24.099	0.002	24.586	0.003	0.000	0.001	0.048	0.074
