Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\teste_20180816_LaFeSi_3layers_mf40_dT6K_3.txt
Date: quinta-feira, 16 de agosto de 2018 @ 09:57:00
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
09:57:00	874.627	309.273	302.367	305.407	303.135	303.180	303.086	305.640	309.196	309.721	309.204	303.683	303.226	303.678	305.830	304.446	304.425	59.986	0.010	-15.018	-0.080	0.109	22.311	17.562	10.921	4.795	4.762	4.682	4.686	2.662	42.123	5.104	4.621	0.483	2.861	23.940	0.002	23.934	0.002	-0.239	-0.003	-0.244	-0.004	0.045	0.039	0.001	0.001
09:57:00	874.633	309.353	302.340	305.420	303.128	303.197	303.094	305.651	309.199	309.736	309.187	303.683	303.198	303.675	305.818	304.465	304.445	59.986	0.010	-15.022	-0.080	0.109	23.194	16.703	10.878	4.794	4.763	4.682	4.685	2.662	42.125	5.102	4.622	0.480	2.846	24.040	0.002	23.239	0.248	-0.237	-0.003	-0.243	-0.004	0.051	5.763	0.001	0.001
09:57:00	874.640	309.343	302.333	305.413	303.127	303.166	303.095	305.625	309.200	309.725	309.170	303.704	303.174	303.681	305.938	304.476	304.415	59.986	0.010	-15.020	-0.080	0.110	24.045	15.852	10.797	4.796	4.762	4.682	4.686	2.662	42.119	5.102	4.621	0.481	2.832	23.944	0.002	23.925	0.002	-0.239	-0.003	-0.242	-0.004	0.041	0.043	0.001	0.001
09:57:00	874.647	309.359	302.289	305.421	303.125	303.169	303.091	305.636	309.210	309.728	309.178	303.690	303.166	303.673	305.815	304.465	304.418	59.986	0.010	-15.020	-0.080	0.109	24.876	15.043	10.682	4.794	4.763	4.683	4.685	2.662	42.123	5.102	4.620	0.482	2.816	23.883	0.002	23.996	0.002	-0.237	-0.003	-0.244	-0.004	0.046	0.039	0.001	0.001
09:57:00	874.653	309.337	302.275	305.427	303.128	303.117	303.088	305.646	309.213	309.715	309.187	303.706	303.145	303.758	305.823	304.502	304.425	59.986	0.010	-15.022	-0.080	0.109	25.678	14.230	10.525	4.794	4.762	4.682	4.686	2.662	42.119	5.103	4.621	0.482	2.808	23.432	0.338	23.836	0.002	-0.239	-0.003	-0.244	-0.004	7.916	0.043	0.001	0.001
09:57:00	874.660	309.341	302.251	305.446	303.116	303.140	303.091	305.635	309.209	309.727	309.183	303.659	303.118	303.636	305.813	304.458	304.447	59.986	0.010	-15.019	-0.081	0.109	26.463	13.456	10.318	4.795	4.763	4.682	4.686	2.662	42.119	5.104	4.621	0.483	2.789	23.941	0.002	23.928	0.002	-0.239	-0.003	-0.244	-0.004	0.044	0.041	0.001	0.001
09:57:00	874.667	309.354	302.216	305.469	303.135	303.124	303.084	305.629	309.210	309.725	309.184	303.683	303.046	303.688	305.834	304.471	304.446	59.986	0.010	-15.022	-0.080	0.109	27.223	12.724	10.057	4.794	4.762	4.682	4.685	2.662	42.123	5.104	4.621	0.483	2.772	23.928	0.002	23.442	0.312	-0.239	-0.003	-0.243	-0.004	0.040	7.316	0.001	0.001
09:57:00	874.673	309.360	302.207	305.443	303.124	303.114	303.090	305.617	309.209	309.723	309.199	303.678	303.032	303.677	305.823	304.487	304.428	59.986	0.010	-15.021	-0.080	0.109	27.962	11.996	9.740	4.794	4.762	4.683	4.685	2.661	42.119	5.104	4.621	0.482	2.755	23.372	0.285	23.872	0.002	-0.238	-0.003	-0.243	-0.004	6.658	0.040	0.001	0.001
09:57:00	874.680	309.350	302.172	305.478	303.126	303.082	303.085	305.626	309.197	309.729	309.193	303.771	303.030	303.680	305.806	304.458	304.442	59.986	0.010	-15.021	-0.080	0.109	28.662	11.299	9.370	4.795	4.762	4.682	4.685	2.662	42.119	5.105	4.621	0.484	2.741	23.948	0.002	23.933	0.002	-0.238	-0.003	-0.243	-0.004	0.042	0.040	0.001	0.001
09:57:00	874.687	309.336	302.162	305.514	303.128	303.072	303.087	305.625	309.199	309.731	309.190	303.681	302.979	303.683	305.809	304.474	304.419	59.986	0.010	-15.022	-0.080	0.109	29.348	10.645	8.950	4.795	4.762	4.682	4.686	2.662	42.123	5.105	4.621	0.483	2.728	23.995	0.002	23.269	0.251	-0.237	-0.003	-0.243	-0.004	0.042	5.842	0.001	0.001
09:57:00	874.693	309.384	302.114	305.510	303.140	303.085	303.102	305.621	309.214	309.722	309.185	303.670	302.977	303.673	305.816	304.473	304.437	59.986	0.010	-15.019	-0.079	0.111	29.995	9.997	8.492	4.795	4.762	4.683	4.684	2.662	42.123	5.105	4.621	0.484	2.709	23.946	0.002	24.005	0.002	-0.239	-0.004	-0.244	-0.004	0.041	0.046	0.001	0.001
09:57:00	874.700	309.362	302.092	305.519	303.136	303.057	303.051	305.623	309.207	309.719	309.197	303.693	302.936	303.684	305.804	304.460	304.416	59.986	0.010	-15.022	-0.080	0.110	30.632	9.396	8.002	4.795	4.762	4.682	4.686	2.662	42.114	5.104	4.621	0.483	2.695	23.893	0.002	23.995	0.002	-0.239	-0.003	-0.243	-0.004	0.041	0.036	0.001	0.001
