Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\teste_random.txt
Date: quinta-feira, 16 de agosto de 2018 @ 11:27:41
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
11:27:41	39.267	309.007	300.725	301.207	301.270	301.030	301.144	301.402	309.025	308.958	308.950	301.229	301.932	302.101	301.429	301.405	301.375	59.929	0.009	-15.021	-0.098	0.116	39.228	1.606	1.944	4.906	4.882	4.784	4.790	2.664	42.842	5.234	4.708	0.525	2.836	24.698	0.004	23.883	0.002	-0.239	-0.003	-0.245	-0.004	0.093	0.040	0.001	0.001
11:27:41	39.273	309.003	300.756	301.213	301.266	301.037	301.142	301.381	308.980	308.959	308.957	301.229	301.961	302.116	301.448	301.406	301.372	59.929	0.009	-15.019	-0.099	0.116	39.376	1.483	1.780	4.906	4.883	4.784	4.791	2.666	42.846	5.233	4.709	0.524	2.854	23.951	0.002	23.928	0.002	-0.239	-0.003	-0.243	-0.004	0.045	0.042	0.001	0.001
11:27:41	39.280	308.973	300.721	301.198	301.252	301.043	301.131	301.370	308.984	308.970	308.983	301.356	301.966	302.131	301.455	301.423	301.399	59.929	0.009	-15.020	-0.098	0.116	39.513	1.374	1.564	4.906	4.882	4.785	4.790	2.666	42.837	5.235	4.709	0.527	2.879	24.002	0.002	23.417	0.277	-0.239	-0.003	-0.243	-0.004	0.043	6.484	0.001	0.001
11:27:41	39.287	309.017	300.695	301.204	301.255	301.033	301.118	301.376	308.991	308.960	308.950	301.215	301.926	302.154	301.447	301.422	301.376	59.929	0.009	-15.023	-0.098	0.117	39.623	1.269	1.310	4.907	4.883	4.784	4.790	2.666	42.839	5.234	4.708	0.526	2.893	23.425	0.298	23.874	0.002	-0.239	-0.003	-0.243	-0.004	6.990	0.042	0.001	0.001
11:27:41	39.293	309.028	300.735	301.217	301.260	301.026	301.111	301.384	308.982	308.959	308.987	301.218	301.977	302.142	301.553	301.403	301.364	59.929	0.009	-15.020	-0.099	0.117	39.725	1.174	1.021	4.907	4.883	4.784	4.790	2.666	42.842	5.234	4.709	0.525	2.913	23.931	0.002	23.942	0.002	-0.239	-0.003	-0.244	-0.004	0.041	0.040	0.001	0.001
11:27:41	39.300	309.018	300.712	301.222	301.270	301.023	301.110	301.389	308.976	308.964	308.967	301.223	301.899	302.124	301.444	301.414	301.366	59.929	0.009	-15.021	-0.098	0.117	39.791	1.086	0.636	4.907	4.882	4.784	4.790	2.665	42.842	5.235	4.709	0.526	2.942	23.984	0.002	23.922	0.002	-0.239	-0.003	-0.243	-0.004	0.040	0.045	0.001	0.001
11:27:41	39.307	308.985	300.722	301.236	301.260	301.014	301.103	301.377	308.983	308.946	308.981	301.207	301.886	302.130	301.459	301.409	301.378	59.929	0.009	-15.020	-0.099	0.117	39.862	0.998	0.220	4.907	4.884	4.785	4.790	2.665	42.837	5.236	4.709	0.527	2.954	23.951	0.002	23.956	0.002	-0.239	-0.003	-0.243	-0.004	0.041	0.043	0.001	0.001
11:27:41	39.313	308.984	300.712	301.239	301.270	301.003	301.086	301.391	308.978	308.975	308.953	301.220	301.872	302.123	301.446	301.411	301.373	59.929	0.009	-15.019	-0.099	0.116	39.922	0.938	-0.190	4.906	4.883	4.784	4.790	2.666	42.851	5.235	4.710	0.525	2.972	23.904	0.002	24.329	0.001	-0.239	-0.003	-0.243	-0.004	0.040	0.029	0.001	0.001
11:27:41	39.320	308.992	300.702	301.252	301.256	301.022	301.111	301.371	308.981	308.968	308.965	301.202	301.801	302.133	301.448	301.394	301.380	59.929	0.009	-15.022	-0.099	0.117	39.964	0.861	-0.619	4.907	4.883	4.785	4.791	2.665	42.844	5.236	4.710	0.526	3.005	24.242	0.002	23.908	0.002	-0.239	-0.003	-0.243	-0.004	0.059	0.045	0.001	0.001
11:27:41	39.327	308.980	300.690	301.269	301.258	301.004	301.109	301.396	308.994	308.959	308.963	301.216	301.814	302.151	301.449	301.449	301.370	59.929	0.009	-15.019	-0.098	0.117	40.003	0.811	-1.050	4.908	4.883	4.785	4.791	2.665	42.844	5.235	4.709	0.526	3.022	23.948	0.002	23.926	0.002	-0.239	-0.003	-0.243	-0.004	0.041	0.043	0.001	0.001
11:27:41	39.333	308.972	300.657	301.287	301.268	300.977	301.086	301.368	308.983	308.963	308.959	301.208	301.751	302.122	301.447	301.405	301.383	59.929	0.009	-15.023	-0.098	0.117	40.038	0.751	-1.479	4.908	4.883	4.785	4.791	2.665	42.848	5.235	4.709	0.526	3.047	23.989	0.002	23.427	0.282	-0.239	-0.003	-0.244	-0.004	0.047	6.614	0.001	0.001
