Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf10_dT12K.txt
Date: quinta-feira, 16 de agosto de 2018 @ 11:42:42
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
11:42:42	801.553	310.379	297.092	302.870	297.219	297.197	297.193	302.727	309.106	309.420	309.071	301.713	301.600	301.889	302.916	302.571	302.317	59.986	0.013	-15.020	0.008	0.025	0.129	10.216	5.510	4.637	4.616	4.624	4.611	2.661	13.536	4.733	4.659	0.074	3.558	22.180	1.245	22.302	1.048	-0.237	-0.003	-0.242	-0.004	27.623	23.381	0.001	0.001
11:42:42	801.560	310.397	297.200	302.895	297.235	297.204	297.216	302.727	309.104	309.413	309.092	301.716	301.595	301.761	302.938	302.442	302.315	59.986	0.013	-15.022	0.003	0.026	0.125	10.219	5.612	4.638	4.621	4.624	4.611	2.662	13.531	4.732	4.658	0.074	3.545	23.968	0.002	23.939	0.002	-0.239	-0.003	-0.243	-0.004	0.041	0.042	0.001	0.001
11:42:42	801.567	310.384	297.096	302.855	297.233	297.195	297.208	302.744	309.104	309.428	309.097	301.878	301.605	301.888	302.848	302.419	302.305	59.986	0.013	-15.022	0.001	0.027	0.118	10.205	5.743	4.639	4.622	4.623	4.611	2.661	13.534	4.734	4.658	0.076	3.542	23.950	0.002	23.919	0.002	-0.238	-0.003	-0.243	-0.004	0.045	0.042	0.001	0.001
11:42:42	801.573	310.245	297.085	302.927	297.237	297.191	297.225	302.730	309.103	309.436	309.090	301.719	301.589	301.877	302.914	302.434	302.309	59.986	0.013	-15.020	-0.001	0.031	0.118	10.194	5.904	4.641	4.622	4.621	4.610	2.662	13.536	4.738	4.658	0.079	3.530	23.475	0.328	23.249	0.280	-0.240	-0.003	-0.243	-0.004	7.690	6.499	0.001	0.001
11:42:42	801.580	310.408	297.103	302.905	297.236	297.182	297.211	302.726	309.114	309.425	309.086	301.700	301.574	301.876	302.902	302.428	302.312	59.986	0.013	-15.023	-0.003	0.035	0.125	10.180	6.094	4.643	4.624	4.621	4.608	2.661	13.531	4.741	4.658	0.083	3.526	23.954	0.002	23.928	0.002	-0.238	-0.003	-0.243	-0.004	0.044	0.041	0.001	0.001
11:42:42	801.587	310.377	297.088	302.914	297.246	297.191	297.242	302.731	309.105	309.427	309.089	301.698	301.601	301.891	302.976	302.426	302.404	59.986	0.013	-15.018	-0.003	0.038	0.125	10.173	6.312	4.645	4.624	4.620	4.606	2.661	13.531	4.742	4.659	0.083	3.513	23.937	0.002	23.950	0.002	-0.237	-0.003	-0.244	-0.004	0.045	0.041	0.001	0.001
11:42:42	801.593	310.391	297.102	302.922	297.227	297.164	297.210	302.741	309.119	309.430	309.094	301.707	301.585	301.883	302.914	302.430	302.324	59.986	0.013	-15.021	-0.005	0.042	0.104	10.156	6.559	4.646	4.625	4.620	4.604	2.662	13.536	4.746	4.658	0.087	3.510	23.261	0.267	23.889	0.002	-0.237	-0.003	-0.242	-0.004	6.211	0.038	0.001	0.001
11:42:42	801.600	310.409	297.062	302.917	297.242	297.180	297.223	302.760	309.129	309.432	309.087	301.696	301.593	301.891	302.917	302.417	302.326	59.986	0.013	-15.022	-0.006	0.042	0.125	10.159	6.835	4.645	4.625	4.618	4.603	2.662	13.529	4.749	4.659	0.090	3.504	23.952	0.002	23.928	0.002	-0.237	-0.003	-0.243	-0.004	0.043	0.038	0.001	0.001
11:42:42	801.607	310.409	297.076	302.915	297.243	297.161	297.241	302.731	309.129	309.425	309.084	301.711	301.612	301.868	302.908	302.440	302.342	59.986	0.013	-15.020	-0.008	0.041	0.129	10.156	7.138	4.645	4.624	4.617	4.604	2.662	13.531	4.752	4.659	0.093	3.490	23.981	0.002	24.381	0.002	-0.238	-0.003	-0.243	-0.004	0.052	0.052	0.001	0.001
11:42:42	801.613	310.396	297.093	302.908	297.240	297.153	297.237	302.734	309.133	309.422	309.082	301.718	301.520	301.860	302.898	302.426	302.321	59.986	0.013	-15.023	-0.008	0.039	0.125	10.159	7.467	4.644	4.624	4.617	4.605	2.662	13.534	4.757	4.659	0.098	3.493	23.954	0.002	23.927	0.002	-0.238	-0.003	-0.243	-0.004	0.043	0.038	0.001	0.001
