Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf30_dT0K.txt
Date: quarta-feira, 15 de agosto de 2018 @ 13:41:04
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
13:41:04	450.813	309.427	307.432	307.978	309.216	307.983	309.324	307.842	309.207	310.206	309.190	302.519	302.492	303.308	308.230	304.271	304.776	59.987	0.010	-15.019	0.039	-0.001	29.964	0.132	-2.982	4.727	4.701	4.739	4.728	2.393	31.681	5.043	4.679	0.364	1.518	-0.228	-0.002	-0.247	-0.003	23.297	0.213	23.971	0.002	0.000	0.001	4.966	0.039
13:41:04	450.820	309.469	307.561	307.948	309.183	307.990	309.320	307.852	309.179	310.213	309.193	302.516	302.473	303.284	308.238	304.276	304.822	59.987	0.010	-15.021	0.040	-0.003	29.936	0.157	-2.714	4.730	4.704	4.743	4.733	2.384	31.679	5.042	4.679	0.362	1.517	-0.229	-0.002	-0.247	-0.003	24.016	0.001	23.945	0.002	0.000	0.001	0.035	0.041
13:41:04	450.827	309.454	307.630	307.953	309.212	307.991	309.309	307.845	309.202	310.207	309.201	302.509	302.501	303.253	308.229	304.199	304.709	59.987	0.010	-15.022	0.043	-0.005	29.907	0.210	-2.444	4.733	4.706	4.748	4.737	2.393	31.681	5.038	4.679	0.359	1.513	-0.229	-0.002	-0.247	-0.003	23.994	0.001	24.404	0.002	0.000	0.001	0.030	0.060
13:41:04	450.833	309.449	307.739	307.940	309.209	307.994	309.320	307.867	309.204	310.196	309.177	302.519	302.513	303.265	308.223	304.268	304.815	59.987	0.010	-15.019	0.044	-0.007	29.876	0.238	-2.152	4.735	4.707	4.751	4.742	2.384	31.681	5.036	4.679	0.358	1.508	-0.229	-0.002	-0.247	-0.003	24.019	0.001	23.938	0.002	0.000	0.001	0.033	0.037
13:41:04	450.840	309.450	307.850	307.934	309.219	308.013	309.327	307.853	309.196	310.186	309.193	302.515	302.546	303.257	308.244	304.277	304.801	59.987	0.010	-15.023	0.046	-0.007	29.851	0.280	-1.811	4.738	4.709	4.756	4.745	2.386	31.684	5.035	4.678	0.357	1.520	-0.229	-0.002	-0.246	-0.003	24.025	0.002	23.946	0.002	0.000	0.001	0.037	0.040
13:41:04	450.847	309.486	307.845	307.932	309.225	308.010	309.318	307.862	309.197	310.178	309.204	302.502	302.554	303.269	308.349	304.265	304.824	59.987	0.010	-15.020	0.048	-0.009	29.812	0.357	-1.431	4.740	4.711	4.759	4.748	2.392	31.686	5.032	4.678	0.354	1.497	-0.228	-0.002	-0.246	-0.003	23.570	0.284	23.417	0.271	0.000	0.001	6.693	6.351
13:41:04	450.853	309.555	308.014	307.910	309.190	308.004	309.315	307.868	309.205	310.146	309.181	302.505	302.612	303.256	308.291	304.260	304.750	59.987	0.010	-15.019	0.047	-0.009	29.784	0.438	-1.048	4.741	4.713	4.760	4.750	2.384	31.684	5.029	4.679	0.351	1.492	-0.229	-0.002	-0.247	-0.003	24.014	0.001	23.941	0.002	0.000	0.001	0.030	0.041
13:41:04	450.860	309.524	308.132	307.921	309.210	308.027	309.365	307.857	309.189	310.122	309.211	302.502	302.547	303.267	308.242	304.275	304.836	59.987	0.010	-15.022	0.048	-0.009	29.739	0.523	-0.688	4.742	4.714	4.762	4.751	2.393	31.686	5.027	4.678	0.349	1.495	-0.228	-0.002	-0.247	-0.003	24.021	0.001	23.971	0.001	0.000	0.001	0.036	0.035
13:41:04	450.867	309.548	308.190	307.924	309.213	308.035	309.311	307.857	309.190	310.101	309.202	302.516	302.562	303.306	308.236	304.241	304.821	59.987	0.010	-15.018	0.049	-0.008	29.693	0.618	-0.379	4.742	4.713	4.762	4.751	2.384	31.688	5.026	4.679	0.347	1.480	-0.229	-0.002	-0.247	-0.003	23.375	0.223	23.960	0.002	0.000	0.001	5.204	0.038
13:41:04	450.873	309.611	308.309	307.917	309.210	308.018	309.328	307.891	309.195	310.014	309.191	302.535	302.574	303.162	308.205	304.237	304.822	59.987	0.010	-15.023	0.050	-0.010	29.647	0.744	-0.138	4.742	4.712	4.762	4.752	2.387	31.684	5.024	4.679	0.345	1.476	-0.229	-0.002	-0.246	-0.003	24.014	0.001	23.939	0.002	0.000	0.001	0.028	0.040
13:41:04	450.880	309.610	308.443	307.917	309.222	308.020	309.324	307.871	309.190	310.022	309.194	302.538	302.574	303.252	308.249	304.235	304.790	59.987	0.010	-15.018	0.051	-0.009	29.563	0.868	0.033	4.741	4.711	4.762	4.750	2.393	31.686	5.022	4.679	0.344	1.478	-0.228	-0.002	-0.247	-0.004	23.974	0.001	24.319	0.001	0.000	0.001	0.031	0.028
13:41:04	450.887	309.650	308.429	307.937	309.185	308.024	309.331	307.866	309.213	310.007	309.204	302.542	302.597	303.295	308.220	304.097	304.843	59.987	0.010	-15.021	0.051	-0.010	29.492	1.012	0.150	4.739	4.710	4.761	4.749	2.383	31.686	5.022	4.678	0.343	1.464	-0.229	-0.002	-0.247	-0.003	24.015	0.001	23.939	0.002	0.000	0.001	0.030	0.036
13:41:04	450.893	309.655	308.487	307.926	309.199	308.017	309.344	307.880	309.197	309.941	309.201	302.510	302.603	303.440	308.233	304.227	304.815	59.987	0.010	-15.022	0.051	-0.011	29.380	1.174	0.229	4.737	4.709	4.760	4.748	2.390	31.684	5.022	4.678	0.344	1.460	-0.230	-0.002	-0.247	-0.003	24.018	0.001	23.945	0.002	0.000	0.001	0.029	0.036
13:41:04	450.900	309.712	308.557	307.911	309.214	308.021	309.354	307.859	309.189	309.908	309.195	302.639	302.619	303.283	308.243	304.251	304.811	59.987	0.010	-15.019	0.051	-0.011	29.249	1.350	0.290	4.736	4.707	4.757	4.747	2.382	31.684	5.021	4.679	0.342	1.466	-0.228	-0.002	-0.247	-0.003	23.567	0.256	23.391	0.276	0.000	0.001	6.022	6.453
13:41:04	450.907	309.752	308.516	307.887	309.213	308.017	309.340	307.877	309.208	309.853	309.216	302.513	302.628	303.274	308.252	304.226	304.821	59.987	0.010	-15.022	0.051	-0.012	29.109	1.561	0.342	4.733	4.705	4.756	4.745	2.385	31.688	5.020	4.680	0.340	1.450	-0.228	-0.002	-0.247	-0.003	24.019	0.001	23.933	0.002	0.000	0.001	0.032	0.037
13:41:04	450.913	309.787	308.664	307.881	309.219	308.014	309.310	307.879	309.204	309.798	309.197	302.523	302.670	303.267	308.245	304.243	304.830	59.987	0.010	-15.018	0.052	-0.013	28.926	1.793	0.388	4.730	4.702	4.754	4.742	2.391	31.684	5.020	4.679	0.341	1.445	-0.229	-0.002	-0.246	-0.003	24.016	0.001	23.959	0.002	0.000	0.001	0.036	0.038
13:41:04	450.920	309.813	308.688	307.859	309.214	308.021	309.324	307.888	309.204	309.738	309.184	302.513	302.664	303.269	308.227	304.216	304.820	59.987	0.010	-15.020	0.053	-0.012	28.715	2.071	0.419	4.728	4.699	4.751	4.740	2.383	31.690	5.017	4.680	0.337	1.448	-0.228	-0.002	-0.248	-0.003	23.441	0.231	23.951	0.002	0.000	0.001	5.425	0.037
13:41:04	450.927	309.856	308.770	307.859	309.204	308.005	309.287	307.877	309.191	309.702	309.202	302.516	302.711	303.262	308.192	304.237	304.812	59.987	0.010	-15.022	0.053	-0.013	28.468	2.349	0.413	4.725	4.696	4.749	4.738	2.392	31.686	5.017	4.680	0.337	1.437	-0.230	-0.002	-0.248	-0.003	24.020	0.001	23.940	0.002	0.000	0.001	0.034	0.037
13:41:04	450.933	309.894	308.774	307.829	309.202	308.028	309.333	307.873	309.187	309.657	309.182	302.515	302.736	303.288	308.161	304.237	304.810	59.987	0.010	-15.018	0.053	-0.013	28.180	2.704	0.375	4.723	4.694	4.747	4.735	2.385	31.690	5.015	4.680	0.335	1.430	-0.228	-0.002	-0.247	-0.003	23.964	0.001	24.250	0.001	0.000	0.001	0.035	0.031
13:41:04	450.940	309.891	308.796	307.806	309.197	308.029	309.344	307.872	309.187	309.616	309.212	302.519	302.817	303.275	308.231	304.234	304.775	59.987	0.010	-15.023	0.053	-0.012	27.849	3.056	0.278	4.720	4.692	4.745	4.732	2.386	31.695	5.013	4.680	0.333	1.432	-0.229	-0.002	-0.246	-0.003	24.023	0.001	23.938	0.002	0.000	0.001	0.034	0.039
13:41:04	450.947	309.956	308.834	307.809	309.209	308.039	309.338	307.889	309.187	309.576	309.179	302.596	302.795	303.273	308.250	304.246	304.818	59.987	0.010	-15.019	0.053	-0.012	27.487	3.450	0.088	4.718	4.689	4.742	4.730	2.392	31.686	5.012	4.680	0.332	1.417	-0.228	-0.002	-0.247	-0.003	24.015	0.002	23.944	0.002	0.000	0.001	0.037	0.038
13:41:04	450.953	309.962	308.845	307.777	309.197	308.022	309.337	307.886	309.194	309.537	309.208	302.550	302.816	303.214	308.243	304.228	304.812	59.987	0.010	-15.021	0.052	-0.013	27.103	3.858	-0.213	4.715	4.688	4.740	4.729	2.384	31.686	5.010	4.680	0.330	1.410	-0.228	-0.002	-0.246	-0.003	24.550	0.010	23.371	0.280	0.000	0.001	0.239	6.550
