Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf50_dT0K_2.txt
Date: quarta-feira, 15 de agosto de 2018 @ 13:49:59
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
13:49:59	985.680	309.412	308.964	308.279	309.182	308.816	309.365	308.425	309.211	309.950	309.206	302.678	303.126	303.489	308.635	305.413	304.915	60.012	0.010	-15.020	-0.107	0.137	2.458	49.026	6.159	4.942	4.906	4.799	4.805	2.385	52.657	5.398	4.667	0.731	3.171	23.953	0.002	23.931	0.002	-0.238	-0.003	-0.243	-0.004	0.041	0.042	0.001	0.001
13:49:59	985.687	309.403	308.945	308.267	309.166	308.884	309.344	308.430	309.204	309.949	309.198	302.676	303.139	303.475	308.647	305.403	304.907	60.012	0.010	-15.022	-0.107	0.137	2.866	48.674	5.930	4.940	4.904	4.797	4.804	2.392	52.655	5.397	4.668	0.729	3.160	24.129	0.002	23.392	0.271	-0.238	-0.003	-0.243	-0.004	0.039	6.345	0.001	0.001
13:49:59	985.693	309.395	308.875	308.284	309.154	308.908	309.338	308.418	309.208	309.940	309.208	302.686	303.192	303.478	308.639	305.410	304.923	60.012	0.010	-15.019	-0.108	0.137	3.334	48.266	5.733	4.939	4.903	4.795	4.801	2.387	52.660	5.395	4.668	0.727	3.149	23.948	0.002	23.921	0.002	-0.238	-0.004	-0.243	-0.004	0.043	0.041	0.001	0.001
13:49:59	985.700	309.394	308.951	308.268	309.172	308.955	309.335	308.426	309.201	309.963	309.191	302.686	303.178	303.470	308.633	305.389	304.934	60.012	0.010	-15.022	-0.109	0.138	3.869	47.798	5.569	4.937	4.902	4.793	4.800	2.386	52.655	5.393	4.668	0.725	3.134	23.934	0.002	23.964	0.002	-0.238	-0.003	-0.244	-0.004	0.042	0.043	0.001	0.001
13:49:59	985.707	309.340	308.874	308.258	309.166	308.971	309.346	308.425	309.214	309.932	309.224	302.668	303.181	303.464	308.642	305.406	304.910	60.012	0.010	-15.020	-0.108	0.138	4.453	47.245	5.430	4.936	4.901	4.793	4.798	2.396	52.660	5.390	4.668	0.722	3.128	23.438	0.331	23.799	0.002	-0.237	-0.003	-0.243	-0.004	7.765	0.042	0.001	0.001
13:49:59	985.713	309.367	308.928	308.240	309.171	309.018	309.337	308.437	309.214	309.964	309.201	302.682	303.191	303.475	308.645	305.390	304.916	60.012	0.010	-15.020	-0.108	0.138	5.090	46.630	5.318	4.935	4.900	4.791	4.797	2.385	52.655	5.390	4.668	0.722	3.111	23.949	0.002	23.928	0.002	-0.237	-0.004	-0.243	-0.004	0.044	0.040	0.001	0.001
13:49:59	985.720	309.380	308.917	308.217	309.145	309.034	309.310	308.377	309.204	309.926	309.221	302.678	303.196	303.496	308.643	305.413	304.911	60.012	0.010	-15.022	-0.108	0.138	5.787	45.944	5.239	4.934	4.899	4.791	4.796	2.393	52.660	5.388	4.668	0.720	3.102	23.916	0.002	24.615	0.003	-0.238	-0.003	-0.243	-0.004	0.045	0.072	0.001	0.001
13:49:59	985.727	309.360	308.897	308.202	309.161	309.060	309.320	308.399	309.197	309.935	309.207	302.826	303.223	303.466	308.606	305.403	304.907	60.012	0.010	-15.019	-0.109	0.138	6.533	45.194	5.198	4.934	4.898	4.790	4.796	2.388	52.655	5.387	4.668	0.720	3.097	23.334	0.277	23.880	0.002	-0.238	-0.004	-0.243	-0.004	6.456	0.039	0.001	0.001
13:49:59	985.733	309.383	308.907	308.217	309.156	309.070	309.336	308.420	309.210	309.949	309.221	302.688	303.238	303.477	308.642	305.407	304.910	60.012	0.010	-15.022	-0.108	0.137	7.346	44.357	5.207	4.933	4.898	4.790	4.795	2.387	52.660	5.387	4.669	0.718	3.080	23.953	0.002	23.941	0.002	-0.238	-0.003	-0.243	-0.004	0.041	0.044	0.001	0.001
13:49:59	985.740	309.383	308.902	308.194	309.146	309.093	309.289	308.402	309.224	309.947	309.194	302.685	303.220	303.481	308.637	305.382	304.982	60.012	0.010	-15.020	-0.110	0.138	8.204	43.460	5.273	4.933	4.898	4.788	4.795	2.397	52.660	5.385	4.669	0.716	3.069	24.082	0.001	23.388	0.271	-0.238	-0.003	-0.243	-0.004	0.035	6.327	0.001	0.001
13:49:59	985.747	309.359	308.899	308.190	309.147	309.113	309.301	308.405	309.210	309.959	309.208	302.667	303.212	303.427	308.644	305.409	304.918	60.012	0.010	-15.019	-0.108	0.137	9.105	42.489	5.404	4.932	4.897	4.789	4.795	2.385	52.653	5.385	4.668	0.717	3.059	23.945	0.002	23.925	0.003	-0.237	-0.004	-0.243	-0.004	0.042	0.064	0.001	0.001
13:49:59	985.753	309.404	308.895	308.197	309.157	309.122	309.292	308.406	309.203	309.950	309.172	302.656	303.198	303.475	308.673	305.423	304.914	60.012	0.010	-15.023	-0.109	0.138	10.069	41.475	5.599	4.933	4.897	4.788	4.795	2.390	52.662	5.382	4.668	0.714	3.050	23.927	0.002	23.964	0.002	-0.238	-0.003	-0.243	-0.004	0.043	0.041	0.001	0.001
13:49:59	985.760	309.377	308.874	308.170	309.154	309.128	309.296	308.397	309.202	309.952	309.189	302.702	303.216	303.462	308.634	305.384	304.915	60.012	0.010	-15.018	-0.108	0.138	11.068	40.388	5.855	4.932	4.897	4.789	4.794	2.388	52.655	5.381	4.668	0.712	3.039	23.426	0.143	23.854	0.002	-0.238	-0.003	-0.243	-0.004	3.356	0.041	0.001	0.001
13:49:59	985.767	309.376	308.874	308.185	309.138	309.138	309.300	308.450	309.198	309.965	309.196	302.694	303.215	303.487	308.643	305.419	304.916	60.012	0.010	-15.024	-0.109	0.138	12.124	39.273	6.165	4.932	4.897	4.788	4.795	2.390	52.660	5.380	4.668	0.712	3.026	23.957	0.002	23.933	0.002	-0.239	-0.004	-0.243	-0.004	0.047	0.040	0.001	0.001
13:49:59	985.773	309.369	308.871	308.157	309.161	309.143	309.275	308.403	309.207	309.950	309.195	302.675	303.205	303.468	308.630	305.404	304.928	60.012	0.010	-15.019	-0.108	0.138	13.218	38.094	6.514	4.932	4.897	4.789	4.794	2.401	52.664	5.378	4.669	0.710	3.017	23.911	0.002	24.638	0.005	-0.239	-0.004	-0.242	-0.004	0.041	0.132	0.001	0.001
13:49:59	985.780	309.378	308.830	308.154	309.136	309.172	309.284	308.386	309.238	309.945	309.208	302.668	303.219	303.480	308.636	305.406	304.910	60.012	0.010	-15.020	-0.108	0.138	14.341	36.902	6.891	4.933	4.897	4.789	4.795	2.387	52.662	5.379	4.669	0.710	3.003	23.407	0.292	23.874	0.002	-0.238	-0.004	-0.244	-0.004	6.839	0.036	0.001	0.001
