Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\20180815_LaFeSi_3layers_mf50_dT12K_2.txt
Date: quinta-feira, 16 de agosto de 2018 @ 12:16:00
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
12:16:00	2799.207	309.139	297.312	303.263	297.152	297.090	297.231	303.316	309.186	308.602	309.146	301.752	302.296	302.045	303.298	303.031	302.891	60.029	0.010	-15.018	-0.113	0.139	41.428	7.538	6.769	4.944	4.909	4.796	4.805	2.536	51.896	5.392	4.666	0.726	2.614	23.369	0.282	23.894	0.002	-0.238	-0.003	-0.244	-0.004	6.590	0.040	0.001	0.001
12:16:00	2799.213	309.149	297.335	303.227	297.149	297.088	297.212	303.305	309.177	308.602	309.165	301.735	302.318	302.085	303.283	303.035	302.881	60.029	0.010	-15.022	-0.112	0.138	41.984	7.042	6.136	4.943	4.909	4.796	4.805	2.537	51.894	5.392	4.666	0.726	2.633	23.958	0.002	23.949	0.002	-0.239	-0.003	-0.243	-0.004	0.043	0.042	0.001	0.001
12:16:00	2799.220	309.151	297.336	303.196	297.157	297.108	297.224	303.326	309.184	308.611	309.157	301.791	302.316	302.057	303.279	303.023	302.904	60.029	0.010	-15.020	-0.113	0.139	42.532	6.543	5.549	4.943	4.909	4.796	4.804	2.538	51.894	5.392	4.666	0.726	2.644	23.998	0.002	23.138	0.237	-0.238	-0.004	-0.244	-0.004	0.051	5.483	0.001	0.001
12:16:00	2799.227	309.208	297.328	303.170	297.148	297.110	297.208	303.300	309.186	308.603	309.182	301.715	302.472	302.055	303.283	303.067	302.908	60.029	0.010	-15.021	-0.111	0.139	43.057	6.082	5.007	4.943	4.908	4.796	4.805	2.536	51.894	5.392	4.666	0.726	2.659	23.953	0.002	24.002	0.002	-0.237	-0.003	-0.242	-0.004	0.044	0.050	0.001	0.001
12:16:00	2799.233	309.139	297.314	303.171	297.145	297.100	297.185	303.318	309.193	308.596	309.171	301.738	302.347	302.057	303.290	303.011	302.916	60.029	0.010	-15.022	-0.112	0.140	43.560	5.649	4.510	4.944	4.908	4.796	4.804	2.541	51.887	5.393	4.667	0.726	2.676	23.868	0.002	24.028	0.002	-0.237	-0.003	-0.243	-0.004	0.044	0.041	0.001	0.001
12:16:00	2799.240	309.150	297.329	303.152	297.125	297.121	297.208	303.305	309.184	308.605	309.154	301.727	302.364	302.059	303.266	303.009	302.892	60.029	0.010	-15.018	-0.112	0.139	44.056	5.258	4.050	4.943	4.908	4.796	4.805	2.536	51.892	5.393	4.666	0.727	2.688	24.704	0.004	23.888	0.002	-0.238	-0.004	-0.243	-0.004	0.106	0.043	0.001	0.001
12:16:00	2799.247	309.164	297.303	303.148	297.125	297.138	297.165	303.303	309.191	308.598	309.167	301.725	302.373	302.039	303.275	303.038	302.907	60.029	0.010	-15.024	-0.112	0.138	44.521	4.864	3.628	4.943	4.909	4.796	4.805	2.538	51.892	5.391	4.665	0.727	2.705	23.960	0.002	23.939	0.002	-0.239	-0.004	-0.243	-0.004	0.042	0.040	0.001	0.001
12:16:00	2799.253	309.155	297.310	303.138	297.135	297.132	297.171	303.306	309.165	308.603	309.174	301.823	302.378	302.048	303.270	303.060	302.878	60.029	0.010	-15.019	-0.111	0.139	44.960	4.505	3.249	4.944	4.909	4.798	4.805	2.539	51.894	5.392	4.666	0.727	2.714	23.924	0.002	23.441	0.307	-0.238	-0.004	-0.243	-0.004	0.044	7.199	0.001	0.001
12:16:00	2799.260	309.148	297.295	303.127	297.126	297.131	297.170	303.311	309.194	308.610	309.187	301.745	302.358	302.060	303.284	303.022	302.896	60.029	0.010	-15.021	-0.112	0.138	45.386	4.178	2.916	4.943	4.909	4.797	4.805	2.536	51.887	5.392	4.666	0.726	2.722	23.428	0.299	23.875	0.002	-0.238	-0.004	-0.243	-0.004	7.000	0.041	0.001	0.001
12:16:00	2799.267	309.150	297.284	303.123	297.124	297.154	297.156	303.300	309.172	308.588	309.164	301.742	302.350	302.061	303.254	303.039	302.913	60.029	0.010	-15.021	-0.112	0.139	45.784	3.862	2.619	4.944	4.909	4.796	4.805	2.540	51.892	5.391	4.667	0.725	2.736	23.954	0.002	23.946	0.002	-0.237	-0.003	-0.243	-0.004	0.042	0.039	0.001	0.001
