Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\teste_20180816_LaFeSi_3layers_mf40_dT6K.txt
Date: quinta-feira, 16 de agosto de 2018 @ 09:53:49
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
09:53:49	684.440	309.340	303.384	305.297	303.099	302.998	303.036	305.514	309.161	309.661	309.152	303.547	303.036	303.536	305.757	304.292	304.193	60.022	0.009	-15.019	-0.071	0.099	0.196	40.353	10.496	4.822	4.788	4.717	4.723	2.662	42.094	5.149	4.625	0.524	1.843	23.949	0.002	23.969	0.002	-0.238	-0.003	-0.243	-0.004	0.042	0.056	0.001	0.001
09:53:49	684.447	309.344	303.390	305.305	303.106	303.020	303.055	305.490	309.172	309.639	309.167	303.583	303.190	303.564	305.737	304.304	304.191	60.022	0.009	-15.020	-0.073	0.100	0.227	40.374	10.450	4.824	4.790	4.717	4.724	2.664	42.096	5.146	4.625	0.521	1.853	23.950	0.002	23.930	0.002	-0.238	-0.003	-0.243	-0.004	0.041	0.039	0.001	0.001
09:53:49	684.453	309.350	303.367	305.296	303.098	303.045	303.026	305.496	309.155	309.653	309.157	303.581	302.998	303.564	305.747	304.294	304.169	60.022	0.009	-15.022	-0.074	0.101	0.273	40.395	10.365	4.825	4.792	4.718	4.724	2.663	42.096	5.144	4.626	0.518	1.866	24.763	0.007	23.349	0.270	-0.240	-0.003	-0.242	-0.004	0.173	6.299	0.001	0.001
09:53:49	684.460	309.360	303.380	305.305	303.116	303.076	303.037	305.501	309.177	309.656	309.170	303.556	302.954	303.534	305.833	304.279	304.195	60.022	0.009	-15.019	-0.075	0.101	0.322	40.420	10.254	4.825	4.792	4.718	4.724	2.663	42.096	5.143	4.625	0.518	1.875	23.948	0.002	23.918	0.002	-0.237	-0.003	-0.242	-0.004	0.041	0.043	0.001	0.001
09:53:49	684.467	309.336	303.370	305.320	303.110	303.108	303.059	305.497	309.183	309.662	309.156	303.566	302.941	303.529	305.718	304.284	304.187	60.022	0.009	-15.021	-0.076	0.102	0.417	40.430	10.126	4.825	4.792	4.716	4.723	2.663	42.096	5.141	4.626	0.516	1.888	23.929	0.002	23.959	0.002	-0.238	-0.003	-0.243	-0.004	0.042	0.041	0.001	0.001
09:53:49	684.473	309.364	303.348	305.337	303.118	303.116	303.032	305.469	309.173	309.676	309.156	303.565	302.942	303.591	305.715	304.293	304.179	60.022	0.009	-15.021	-0.077	0.103	0.505	40.416	9.983	4.824	4.791	4.714	4.721	2.663	42.096	5.139	4.626	0.513	1.900	23.413	0.296	23.870	0.002	-0.238	-0.003	-0.243	-0.004	6.936	0.039	0.001	0.001
09:53:49	684.480	309.307	303.343	305.343	303.130	303.114	303.055	305.498	309.156	309.664	309.161	303.574	302.897	303.536	305.737	304.289	304.175	60.022	0.009	-15.018	-0.079	0.104	0.611	40.399	9.824	4.823	4.790	4.711	4.719	2.664	42.092	5.138	4.625	0.512	1.914	23.946	0.002	23.925	0.002	-0.239	-0.003	-0.243	-0.004	0.044	0.040	0.001	0.001
09:53:49	684.487	309.330	303.349	305.360	303.117	303.144	303.057	305.492	309.166	309.667	309.165	303.571	302.765	303.549	305.694	304.293	304.188	60.022	0.009	-15.023	-0.078	0.106	0.766	40.367	9.642	4.821	4.788	4.709	4.715	2.663	42.094	5.136	4.625	0.511	1.926	23.934	0.002	24.577	0.002	-0.239	-0.003	-0.244	-0.004	0.043	0.059	0.001	0.001
09:53:49	684.493	309.318	303.327	305.379	303.083	303.160	303.057	305.491	309.164	309.668	309.153	303.561	302.859	303.535	305.705	304.304	304.195	60.022	0.009	-15.019	-0.079	0.106	0.914	40.304	9.440	4.819	4.786	4.707	4.713	2.663	42.094	5.135	4.625	0.510	1.932	23.946	0.002	23.957	0.002	-0.237	-0.003	-0.243	-0.004	0.041	0.041	0.001	0.001
09:53:49	684.500	309.319	303.310	305.379	303.143	303.170	303.064	305.480	309.177	309.665	309.181	303.578	302.822	303.522	305.713	304.285	304.181	60.022	0.009	-15.022	-0.079	0.107	1.104	40.216	9.215	4.816	4.784	4.705	4.710	2.663	42.096	5.134	4.626	0.507	1.958	23.954	0.002	23.932	0.002	-0.237	-0.003	-0.243	-0.004	0.045	0.036	0.001	0.001
09:53:50	684.507	309.298	303.290	305.400	303.115	303.184	303.089	305.484	309.170	309.666	309.154	303.575	302.800	303.531	305.705	304.295	304.182	60.022	0.009	-15.022	-0.080	0.107	1.315	40.082	8.969	4.814	4.781	4.700	4.707	2.663	42.092	5.134	4.626	0.508	1.962	24.377	0.001	23.372	0.272	-0.237	-0.003	-0.242	-0.004	0.025	6.356	0.001	0.001
09:53:50	684.513	309.348	303.323	305.427	303.129	303.182	303.060	305.498	309.173	309.664	309.180	303.575	302.767	303.543	305.721	304.309	304.187	60.022	0.009	-15.019	-0.081	0.108	1.561	39.924	8.707	4.812	4.778	4.698	4.704	2.664	42.092	5.132	4.627	0.505	1.975	23.947	0.002	23.926	0.002	-0.238	-0.003	-0.243	-0.004	0.045	0.041	0.001	0.001
09:53:50	684.520	309.271	303.286	305.434	303.126	303.181	303.070	305.483	309.156	309.660	309.189	303.581	302.726	303.523	305.712	304.271	304.171	60.022	0.009	-15.022	-0.081	0.108	1.842	39.723	8.433	4.809	4.776	4.695	4.701	2.663	42.092	5.131	4.626	0.505	1.999	23.937	0.002	23.957	0.002	-0.239	-0.003	-0.243	-0.004	0.042	0.042	0.001	0.001
09:53:50	684.527	309.288	303.285	305.476	303.155	303.175	303.062	305.494	309.168	309.675	309.163	303.570	302.689	303.536	305.673	304.278	304.202	60.022	0.009	-15.019	-0.081	0.109	2.166	39.452	8.161	4.807	4.774	4.693	4.699	2.662	42.090	5.129	4.627	0.502	2.004	23.428	0.310	23.858	0.002	-0.238	-0.003	-0.243	-0.004	7.272	0.042	0.001	0.001
09:53:50	684.533	309.244	303.261	305.519	303.159	303.184	303.081	305.479	309.167	309.667	309.181	303.583	302.714	303.541	305.786	304.285	304.172	60.022	0.009	-15.021	-0.082	0.109	2.525	39.171	7.901	4.805	4.773	4.691	4.696	2.662	42.096	5.126	4.627	0.499	2.020	23.952	0.002	23.928	0.002	-0.240	-0.003	-0.244	-0.004	0.041	0.038	0.001	0.001
09:53:50	684.540	309.290	303.247	305.508	303.148	303.199	303.100	305.478	309.161	309.651	309.173	303.572	302.649	303.563	305.715	304.267	304.192	60.022	0.009	-15.020	-0.081	0.109	2.916	38.833	7.653	4.804	4.771	4.690	4.695	2.663	42.094	5.124	4.626	0.498	2.041	23.917	0.002	24.534	0.003	-0.239	-0.003	-0.243	-0.004	0.040	0.063	0.001	0.001
09:53:50	684.547	309.292	303.254	305.532	303.147	303.189	303.095	305.481	309.167	309.665	309.162	303.556	302.615	303.556	305.712	304.260	304.174	60.022	0.009	-15.020	-0.081	0.109	3.356	38.436	7.409	4.802	4.770	4.688	4.693	2.662	42.092	5.122	4.626	0.496	2.048	23.201	0.225	23.911	0.002	-0.238	-0.004	-0.243	-0.004	5.212	0.040	0.001	0.001
09:53:50	684.553	309.282	303.255	305.527	303.163	303.191	303.112	305.478	309.182	309.675	309.162	303.571	302.565	303.524	305.717	304.280	304.341	60.022	0.009	-15.022	-0.082	0.109	3.827	37.999	7.164	4.801	4.768	4.686	4.692	2.662	42.094	5.119	4.627	0.492	2.062	23.956	0.002	23.946	0.002	-0.238	-0.003	-0.244	-0.004	0.043	0.040	0.001	0.001
