Data File:  C:\Users\Usuario\Desktop\Testes_LaFeSi_3layers\20180815_dTspan_Mflow_Th309\teste_20180816_LaFeSi_3layers_mf40_dT6K_2.txt
Date: quinta-feira, 16 de agosto de 2018 @ 09:55:15
Active Magnetic Regenerator Test Apparatus - POLO-UFSC 2015

Absolute Time	 Run Time (s)	Tint Hot End (K)	Tint Cold End (K)	T_Chex-in (K)	T_Chex-out (K)	T_Cold Side_out (K)	T_Cold Side_in (K)	T_Hhex-in (K)	T_Hhex-out  (K)	T_Hot Side_out (K)	T_Hot Side_in (K)	Tamb1 (K)	Tamb2 (K)	Tamb3 (K)	T_MAN (K)	T_VHB (K)	T_VCB (K)	Frequency (Hz)	Stroke (mm)	 Displacement (mm)	 dP - CB (bar)	 dP - HB (bar)	 MFR - HB (kg/h)	 MFR - CB (kg/h)	Torque (Nm)	P_Hin (bar)	P_Hout (bar)	P_Cin (bar)	P_Cout (bar)	LowFlow (L/h)	HighFlow (L/h)	P_sysin (bar)	P_sysout (bar)	DP_sys (bar)	Campo (V)	V_VHB_high (V)	I_VHB_high (A)	V_VHB_low (V)	I_VHB_low (A)	V_VCB_high (V)	I_VCB_high (A)	V_VCB_low (V)	I_VCB_low (A)	Power VHB High (W)	Power VHB Low (W)	Power VCB High (W)	Power VCB Low (W)
09:55:15	770.153	309.668	303.249	305.441	303.165	302.615	303.088	305.553	309.187	310.010	309.160	303.632	302.851	303.549	305.797	304.227	304.713	60.012	0.009	-15.021	0.079	-0.042	0.213	40.223	6.199	4.712	4.676	4.755	4.754	2.662	42.258	5.135	4.625	0.510	3.664	-0.229	-0.002	-0.247	-0.003	24.016	0.001	23.929	0.002	0.000	0.001	0.035	0.039
09:55:15	770.160	309.492	303.124	305.422	303.156	302.627	303.090	305.564	309.177	309.992	309.150	303.643	302.833	303.535	305.787	304.218	304.666	60.012	0.009	-15.019	0.080	-0.042	0.217	40.230	6.036	4.711	4.675	4.755	4.753	2.663	42.260	5.136	4.625	0.510	3.657	-0.229	-0.002	-0.247	-0.003	24.007	0.001	23.955	0.002	0.000	0.001	0.030	0.042
09:55:15	770.167	309.665	303.123	305.472	303.162	302.623	303.115	305.557	309.180	309.967	309.158	303.636	302.802	303.543	305.899	304.215	304.701	60.012	0.009	-15.022	0.079	-0.042	0.210	40.226	5.899	4.711	4.676	4.755	4.753	2.662	42.262	5.135	4.624	0.511	3.648	-0.229	-0.002	-0.247	-0.003	23.539	0.250	23.918	0.002	0.000	0.001	5.880	0.037
09:55:15	770.173	309.638	303.125	305.493	303.167	302.605	303.106	305.566	309.181	309.971	309.165	303.633	302.780	303.547	305.786	304.205	304.704	60.012	0.009	-15.019	0.079	-0.041	0.210	40.237	5.772	4.711	4.676	4.755	4.752	2.662	42.260	5.135	4.624	0.511	3.642	-0.229	-0.002	-0.247	-0.003	24.010	0.001	23.934	0.002	0.000	0.001	0.033	0.042
09:55:15	770.180	309.647	303.137	305.479	303.175	302.616	303.104	305.563	309.190	309.974	309.179	303.627	302.776	303.557	305.777	304.200	304.706	60.012	0.009	-15.021	0.079	-0.041	0.192	40.255	5.638	4.711	4.676	4.755	4.752	2.662	42.253	5.135	4.624	0.510	3.635	-0.230	-0.002	-0.246	-0.003	23.944	0.002	24.233	0.001	0.000	0.001	0.037	0.035
09:55:15	770.187	309.579	303.136	305.513	303.191	302.621	303.083	305.576	309.174	309.941	309.164	303.629	302.715	303.577	305.787	304.205	304.726	60.012	0.009	-15.022	0.080	-0.041	0.206	40.255	5.488	4.711	4.675	4.754	4.752	2.662	42.258	5.136	4.625	0.511	3.627	23.648	0.026	24.107	0.025	23.998	0.001	23.924	0.002	0.613	0.604	0.019	0.042
09:55:15	770.193	309.595	303.116	305.525	303.169	302.604	303.107	305.556	309.177	309.959	309.154	303.647	302.716	303.540	305.802	304.185	304.705	60.012	0.009	-15.018	0.080	-0.041	0.192	40.283	5.327	4.711	4.675	4.754	4.752	2.663	42.258	5.137	4.625	0.512	3.618	23.222	0.472	23.230	0.445	-0.256	-0.003	-0.256	-0.004	10.972	10.326	0.001	0.001
09:55:15	770.200	309.590	303.118	305.545	303.177	302.610	303.135	305.565	309.165	309.922	309.160	303.623	302.678	303.562	305.789	304.250	304.698	60.012	0.009	-15.023	0.079	-0.042	0.203	40.297	5.164	4.711	4.676	4.755	4.752	2.662	42.258	5.136	4.625	0.511	3.613	22.985	0.633	22.940	0.643	-0.236	-0.003	-0.243	-0.004	14.550	14.755	0.001	0.001
09:55:15	770.207	309.574	303.169	305.598	303.181	302.603	303.131	305.578	309.141	309.906	309.169	303.625	302.695	303.539	305.804	304.200	304.705	60.012	0.009	-15.019	0.077	-0.041	0.185	40.318	5.018	4.711	4.676	4.753	4.753	2.662	42.260	5.131	4.625	0.507	3.604	22.226	1.159	22.162	1.202	-0.237	-0.003	-0.242	-0.004	25.766	26.640	0.001	0.001
09:55:15	770.213	309.534	303.073	305.606	303.205	302.614	303.148	305.566	309.172	309.907	309.152	303.627	302.657	303.542	305.775	304.210	304.696	60.012	0.009	-15.020	0.076	-0.040	0.182	40.335	4.901	4.712	4.677	4.752	4.752	2.663	42.256	5.121	4.625	0.496	3.598	22.134	1.237	22.088	1.272	-0.237	-0.003	-0.242	-0.004	27.372	28.098	0.001	0.001
09:55:15	770.220	309.515	303.130	305.600	303.181	302.582	303.136	305.529	309.192	309.871	309.155	303.620	302.669	303.553	305.777	304.194	304.693	60.012	0.009	-15.022	0.072	-0.036	0.185	40.353	4.823	4.714	4.678	4.751	4.750	2.662	42.260	5.113	4.624	0.489	3.593	22.127	1.244	22.086	1.276	-0.238	-0.003	-0.242	-0.004	27.532	28.189	0.001	0.001
09:55:15	770.227	309.495	303.088	305.616	303.194	302.582	303.146	305.555	309.183	309.866	309.162	303.652	302.634	303.557	305.756	304.230	304.701	60.012	0.009	-15.017	0.069	-0.031	0.189	40.374	4.788	4.717	4.679	4.749	4.748	2.662	42.258	5.102	4.624	0.478	3.584	22.158	1.217	22.114	1.244	-0.237	-0.003	-0.242	-0.004	26.969	27.510	0.001	0.001
09:55:15	770.233	309.488	303.088	305.609	303.209	302.568	303.153	305.583	309.164	309.858	309.150	303.633	302.613	303.535	305.800	304.406	304.687	60.012	0.009	-15.022	0.065	-0.026	0.185	40.402	4.796	4.720	4.682	4.746	4.746	2.663	42.260	5.093	4.624	0.469	3.577	22.152	1.247	22.190	1.167	-0.237	-0.003	-0.242	-0.004	27.621	25.895	0.001	0.001
09:55:15	770.240	309.433	303.107	305.648	303.191	302.555	303.164	305.561	309.167	309.849	309.144	303.610	302.664	303.553	305.782	304.234	304.702	60.012	0.009	-15.019	0.061	-0.021	0.192	40.420	4.841	4.724	4.685	4.746	4.745	2.662	42.258	5.082	4.624	0.458	3.569	22.130	1.246	22.113	1.241	-0.237	-0.003	-0.242	-0.004	27.570	27.447	0.001	0.001
09:55:15	770.247	309.477	303.089	305.635	303.201	302.554	303.142	305.573	309.196	309.836	309.157	303.617	302.609	303.553	305.777	304.225	304.696	60.012	0.009	-15.020	0.057	-0.018	0.178	40.459	4.913	4.727	4.688	4.745	4.745	2.663	42.256	5.068	4.624	0.444	3.569	22.130	1.246	24.896	0.005	-0.239	-0.003	-0.242	-0.004	27.578	0.123	0.001	0.001
09:55:15	770.253	309.424	303.091	305.647	303.206	302.559	303.158	305.564	309.176	309.802	309.156	303.620	302.581	303.556	305.639	304.240	304.697	60.012	0.009	-15.022	0.049	-0.014	0.189	40.473	5.007	4.731	4.697	4.746	4.745	2.662	42.260	5.063	4.625	0.438	3.554	23.999	0.002	23.974	0.002	-0.239	-0.003	-0.243	-0.004	0.041	0.040	0.001	0.001
09:55:15	770.260	309.401	303.150	305.645	303.193	302.555	303.184	305.577	309.171	309.800	309.145	303.632	302.619	303.597	305.652	304.274	304.703	60.012	0.009	-15.018	0.032	-0.008	0.178	40.508	5.119	4.738	4.715	4.747	4.746	2.662	42.262	5.066	4.626	0.440	3.542	23.948	0.002	23.924	0.002	-0.239	-0.003	-0.243	-0.004	0.043	0.042	0.001	0.001
09:55:15	770.267	309.418	303.092	305.657	303.215	302.552	303.188	305.568	309.166	309.768	309.163	303.619	302.739	303.556	305.766	304.250	304.684	60.012	0.009	-15.022	0.021	0.005	0.175	40.522	5.251	4.746	4.718	4.739	4.741	2.663	42.258	5.075	4.626	0.449	3.539	23.958	0.002	23.927	0.002	-0.238	-0.004	-0.244	-0.004	0.041	0.040	0.001	0.001
09:55:15	770.273	309.354	303.110	305.647	303.200	302.547	303.195	305.582	309.183	309.758	309.151	303.637	302.500	303.540	305.787	304.288	304.686	60.012	0.009	-15.019	0.007	0.023	0.175	40.547	5.408	4.754	4.723	4.731	4.731	2.662	42.260	5.081	4.626	0.455	3.528	23.439	0.336	23.332	0.286	-0.239	-0.003	-0.243	-0.004	7.875	6.666	0.001	0.001
09:55:15	770.280	309.390	303.075	305.655	303.209	302.563	303.167	305.588	309.184	309.763	309.152	303.613	302.599	303.582	305.772	304.293	304.668	60.012	0.009	-15.021	-0.001	0.041	0.171	40.557	5.592	4.762	4.728	4.727	4.721	2.663	42.260	5.088	4.626	0.461	3.523	23.953	0.002	23.925	0.002	-0.239	-0.003	-0.244	-0.004	0.041	0.041	0.001	0.001
